epoch,train_loss,val_loss
0,50319.23046875,2576.875
1,42864.58984375,
2,42962.296875,
3,42682.45703125,
4,42338.29296875,
5,39860.62890625,
6,40922.359375,
7,39500.7109375,
8,38417.09765625,
9,38783.06640625,
10,36376.20703125,
11,35208.6328125,
12,32518.359375,
13,33570.84375,
14,31250.0078125,
15,29478.16796875,
16,27472.19921875,
17,26585.984375,
18,24243.0546875,
19,22394.009765625,
20,21247.462890625,469.5
21,20274.8984375,
22,18428.08984375,
23,16650.28515625,
24,15640.2607421875,
25,14255.271484375,
26,13240.58203125,
27,12302.220703125,
28,10976.578125,
29,9886.462890625,
30,8887.2578125,
31,8035.11572265625,
32,7203.17138671875,
33,6598.2177734375,
34,6275.7060546875,
35,5827.5029296875,
36,5723.08203125,
37,5438.42529296875,
38,5299.32421875,
39,5106.6083984375,
40,5015.8984375,512.0
41,4875.443359375,
42,4707.32958984375,
43,4536.41015625,
44,4248.81884765625,
45,4026.21337890625,
46,3760.427490234375,
47,3293.76513671875,
48,2638.22607421875,
49,2071.1943359375,
50,1489.3792724609375,
51,1029.3529052734375,
52,685.8294677734375,
53,495.595703125,
54,406.00921630859375,
55,464.2575378417969,
56,289.85406494140625,
57,352.2110595703125,
58,284.8509826660156,
59,274.7608337402344,
60,312.1838684082031,156.0
61,302.0926818847656,
62,291.41339111328125,
63,238.013671875,
64,342.0641784667969,
65,310.47613525390625,
66,171.31996154785156,
67,259.50433349609375,
68,366.253173828125,
69,173.1290283203125,
70,213.54251098632812,
71,187.50582885742188,
72,280.18731689453125,
73,265.31634521484375,
74,171.95362854003906,
75,145.35374450683594,
76,173.6985626220703,
77,232.90951538085938,
78,224.89976501464844,
79,180.21517944335938,
80,250.6343231201172,164.0
81,158.2498016357422,
82,212.33563232421875,
83,205.94276428222656,
84,186.03756713867188,
85,188.7406463623047,
86,203.55747985839844,
87,228.67431640625,
88,195.68255615234375,
89,190.74588012695312,
90,210.45352172851562,
91,125.43815612792969,
92,212.75332641601562,
93,274.876220703125,
94,201.8590545654297,
95,182.25672912597656,
96,138.2159423828125,
97,156.90216064453125,
98,267.8095703125,
99,117.99327850341797,
100,195.7964630126953,112.0
101,194.67938232421875,
102,140.57508850097656,
103,132.5313720703125,
104,92.9586181640625,
105,250.45620727539062,
106,192.6845703125,
107,155.97650146484375,
108,180.10328674316406,
109,179.8515625,
110,149.9427947998047,
111,136.34671020507812,
112,241.5804443359375,
113,166.94554138183594,
114,259.84844970703125,
115,208.2864990234375,
116,256.7908630371094,
117,132.96485900878906,
118,256.700439453125,
119,115.1541519165039,
120,186.06317138671875,120.0
121,139.5791473388672,
122,180.01959228515625,
123,115.91825103759766,
124,122.7992172241211,
125,209.73587036132812,
126,157.40785217285156,
127,200.64276123046875,
128,189.3498992919922,
129,175.9669647216797,
130,124.97847747802734,
131,141.8627471923828,
132,168.4998321533203,
133,182.9921875,
134,99.50847625732422,
135,173.35043334960938,
136,153.1771240234375,
137,174.38172912597656,
138,137.22569274902344,
139,188.72085571289062,
140,113.51716613769531,52.0
141,211.5358428955078,
142,174.58888244628906,
143,145.01473999023438,
144,131.3926544189453,
145,135.89088439941406,
146,167.53953552246094,
147,125.61286163330078,
148,183.6245880126953,
149,118.93429565429688,
150,134.2379608154297,
151,164.38858032226562,
152,143.25094604492188,
153,132.5355682373047,
154,235.79747009277344,
155,182.11431884765625,
156,194.39242553710938,
157,149.4264373779297,
158,232.75421142578125,
159,147.66726684570312,
160,237.19546508789062,180.0
161,168.94847106933594,
162,126.83561706542969,
163,178.85934448242188,
164,201.45291137695312,
165,104.89093780517578,
166,189.34141540527344,
167,149.42352294921875,
168,121.21859741210938,
169,148.20672607421875,
170,177.1832733154297,
171,108.1916275024414,
172,116.49980163574219,
173,160.24539184570312,
174,184.73260498046875,
175,144.94961547851562,
176,124.39787292480469,
177,230.77435302734375,
178,133.34112548828125,
179,129.78627014160156,
180,218.66937255859375,164.0
181,118.52924346923828,
182,191.17637634277344,
183,165.502685546875,
184,146.76930236816406,
185,178.3385772705078,
186,127.78358459472656,
187,159.1882781982422,
188,94.47761535644531,
189,229.87698364257812,
190,98.55010986328125,
191,228.13937377929688,
192,189.1114044189453,
193,167.6954803466797,
194,175.8189239501953,
195,172.3716278076172,
196,134.23947143554688,
197,122.3943099975586,
198,182.42063903808594,
199,150.69273376464844,
200,112.23440551757812,64.0
201,106.24725341796875,
202,207.67625427246094,
203,116.69920349121094,
204,168.3671875,
205,233.0673828125,
206,119.18916320800781,
207,176.82272338867188,
208,69.61077880859375,
209,125.10796356201172,
210,79.53060913085938,
211,201.67855834960938,
212,107.78739166259766,
213,124.72110748291016,
214,162.5081787109375,
215,198.75741577148438,
216,76.65435791015625,
217,149.722412109375,
218,189.83023071289062,
219,106.65754699707031,
220,136.61373901367188,94.0
221,143.24459838867188,
222,132.5028533935547,
223,196.04739379882812,
224,275.6249084472656,
225,135.328125,
226,96.89592742919922,
227,189.92459106445312,
228,98.02249145507812,
229,245.396728515625,
230,210.81556701660156,
231,98.6760482788086,
232,156.60708618164062,
233,117.97085571289062,
234,88.92285919189453,
235,124.47843170166016,
236,127.1824951171875,
237,195.5009307861328,
238,114.19635772705078,
239,141.70843505859375,
240,96.0069808959961,60.0
241,170.48458862304688,
242,197.1239776611328,
243,111.89013671875,
244,215.8404998779297,
245,197.494140625,
246,145.7579345703125,
247,103.93488311767578,
248,146.6169891357422,
249,179.6623992919922,
250,142.4095458984375,
251,134.70497131347656,
252,97.05052947998047,
253,144.77273559570312,
254,171.55245971679688,
255,107.26872253417969,
256,133.37860107421875,
257,143.1812286376953,
258,138.8201904296875,
259,120.96617126464844,
260,168.35206604003906,132.0
261,105.6591567993164,
262,173.1298828125,
263,146.3884735107422,
264,131.30393981933594,
265,137.27301025390625,
266,82.69135284423828,
267,115.5062026977539,
268,125.33184051513672,
269,164.7734832763672,
270,119.83911895751953,
271,159.72059631347656,
272,133.70799255371094,
