epoch,train_loss,val_loss
0,1744355.75,180270752.0
1,1611630.0,
2,1688751.75,
3,1735748.75,
4,1816205.25,
5,1748213.375,175739136.0
6,1664245.75,
7,1675775.625,
8,1640396.375,
9,1719036.75,
10,1570535.0,178165024.0
11,1648042.625,
12,1688997.125,
13,1697938.375,
14,1752979.75,
15,1665200.125,175220368.0
16,1623583.625,
17,1638113.5,
18,1652583.5,
19,1675128.75,
20,1566048.625,176178384.0
21,1475419.0,
22,1604609.75,
23,1659393.125,
24,1520693.625,
25,1589566.25,176462720.0
26,1571542.75,
27,1496466.625,
28,1511709.75,
29,1556980.5,
30,1626418.0,164837136.0
31,1519540.5,
32,1438953.75,
33,1514214.5,
34,1554527.5,
35,1483248.5,166422752.0
36,1463873.625,
37,1450134.875,
38,1461779.125,
39,1493907.625,
40,1413582.875,175768032.0
41,1488916.125,
42,1401304.875,
43,1437876.5,
44,1396952.125,
45,1372984.875,179146144.0
46,1416063.375,
47,1371464.875,
48,1358699.125,
49,1213223.25,
50,1349559.875,174672992.0
51,1323133.625,
52,1387920.0,
53,1356598.5,
54,1296003.125,
55,1355779.0,177839536.0
56,1280962.75,
57,1314166.75,
58,1319211.0,
59,1241737.125,
60,1159818.75,175394000.0
61,1201708.75,
62,1177323.5,
63,1122955.625,
64,1247365.625,
65,1147535.375,170763104.0
66,1225094.25,
67,1227156.5,
68,1112620.625,
69,1167995.5,
70,1182107.5,163057152.0
71,1079609.0,
72,1155165.875,
73,1164658.25,
74,1061438.25,
75,1094902.875,156847616.0
76,1041513.75,
77,1084581.75,
78,1078629.125,
79,1096882.375,
80,1046098.625,162132976.0
81,1112070.25,
82,1050965.25,
83,973109.0625,
84,1050711.125,
85,1053101.625,157689232.0
86,961950.75,
87,981431.1875,
88,1003745.875,
89,1050488.75,
90,947068.5,143080352.0
91,1014263.6875,
92,908621.5,
93,951092.0625,
94,918672.3125,
95,952336.0,145274288.0
96,966543.25,
97,980549.125,
98,950499.1875,
99,953420.3125,
100,975363.5625,144455200.0
101,917105.6875,
102,965823.1875,
103,982860.375,
104,946881.8125,
105,980022.1875,150178656.0
106,848973.5,
107,837667.3125,
108,880093.4375,
109,811478.5625,
110,904187.0,145031264.0
111,954279.5,
112,884874.4375,
113,898571.8125,
114,917711.125,
115,864747.3125,148590976.0
116,930696.625,
117,896698.125,
118,885768.0625,
119,887289.0,
120,884970.75,143512656.0
121,881621.0,
122,900924.0,
123,904034.375,
124,873212.9375,
125,836764.5,143931808.0
126,951286.875,
127,900401.375,
128,848414.125,
129,865328.8125,
130,820260.625,147380176.0
131,866014.3125,
132,849332.75,
133,840530.125,
134,851815.8125,
135,811002.3125,145420192.0
136,802431.375,
137,886003.3125,
138,824457.5625,
139,799672.4375,
140,864730.5625,150695488.0
141,790113.9375,
142,772202.5625,
143,825663.875,
144,798156.125,
145,834565.25,84316824.0
146,883381.6875,
147,790547.875,
148,880943.375,
149,839304.1875,
150,809996.125,95231088.0
151,802341.4375,
152,740287.4375,
